Dataset Index,Prediction value of prediction target,COL_____,Control_mode,room_temp,water_temp,middle,B7,B8,COL____,PV,SV,COL____2,COL____3,COL____4,power,date_time
249,0.3091,RA,H,24.7,31.7,24.7,25.1,24.2,46.7,31.4,30.41,401.35,0.67,0.39,0.4,2022/3/11 08:00
250,0.3177,RA,H,25.3,31.9,24.6,25,24.7,45.7,31.4,30.28,402.49,0.67,0.39,0.39,2022/3/11 09:00
251,0.3016,RA,H,25.8,32.4,24,25.4,25.7,45.7,32,30.53,405.19,0.67,0.4,0.39,2022/3/11 10:00
252,3.4312,RA,C,26.2,28.7,25.4,26.8,26.3,45.6,28.4,29.25,402.92,0.69,0.41,8.02,2022/3/11 11:00
253,5.3098,RA,C,26.4,24.5,26,27.3,26.1,45.1,25,25.16,406.67,75.52,47.86,12.69,2022/3/11 12:00
254,8.7085,RA,C,26,19,25,26.6,25.8,43.9,19.2,20.36,403.97,0.7,0.41,19.6,2022/3/11 13:00
255,9.1499,RA,C,26.3,18.7,24.6,26.3,25.5,43.3,19.2,19.95,398.14,70.49,43.78,9.79,2022/3/11 14:00
256,12.0955,RA,C,26.5,16,24.2,26.1,25.5,42.9,16.2,17.47,401.41,0.69,0.41,15.4,2022/3/11 15:00
257,10.7335,RA,C,26.4,17.2,24.2,25.8,25.3,42.6,17.4,18.57,399.33,48.97,29.01,8.59,2022/3/11 16:00
258,11.1021,RA,C,25.8,16.5,24.5,25.7,25,42.5,16.6,18.28,407.49,0.71,0.42,9.99,2022/3/11 17:00
259,10.3563,RA,C,24.5,16.4,24.2,25.6,25,43,17,18.87,404.52,50.86,30.58,9.7,2022/3/11 18:00
260,9.5261,RA,C,23.7,16.8,23.7,25.3,24.8,43,16.8,19.6,405.69,0.7,0.41,7.7,2022/3/11 19:00
261,9.845,RA,C,23.3,16.2,23.1,24.9,24.4,43.2,16.8,19.31,403.45,51.21,30.84,9.6,2022/3/11 20:00
262,9.3535,RA,C,23.2,16.7,22.6,24.4,23.9,43.2,16.6,19.76,407.14,0.71,0.42,6.87,2022/3/11 21:00
263,5.1116,RA,H,23.3,21,21.8,24.7,23.8,43.7,20.8,20.94,407.92,0.68,0.4,0.41,2022/3/11 22:00
264,3.3427,RA,H,24,24,22.1,25.2,24.1,44.3,23.6,23.33,407.5,0.68,0.4,0.41,2022/3/11 23:00
265,2.0412,RA,H,24,26.4,22.7,25.1,24.4,45.2,26,25.63,410.13,0.69,0.41,0.41,2022/3/12 00:00
266,0.9705,RA,H,24.2,28.3,23.3,24.1,24,46.9,28,27.37,411.24,0.69,0.41,0.41,2022/3/12 01:00
267,0.631,RA,H,24.6,29.7,23.8,24.6,24,47.7,29.2,28.5,411.07,0.69,0.41,0.41,2022/3/12 02:00
268,0.4378,RA,H,24.8,30.7,24.3,25,24.2,48.4,30.2,29.37,406.74,0.68,0.4,0.41,2022/3/12 03:00
269,0.3104,RA,H,24.7,31.7,24.6,24.2,24.4,48.7,31.2,30.39,405.96,0.68,0.4,0.4,2022/3/12 04:00
270,0.2804,RA,H,24.8,32.3,24.7,24.9,24.5,49.1,31.8,30.92,406.28,0.68,0.4,0.4,2022/3/12 05:00
271,0.2606,RA,H,24.8,32.8,24.8,24.5,24.6,49.1,32.2,31.39,405.99,0.68,0.4,0.4,2022/3/12 06:00
272,0.2524,RA,H,24.9,33.1,24.9,24.8,24.6,49.3,32.6,31.64,405.37,0.68,0.4,0.4,2022/3/12 07:00
273,0.2545,RA,H,25.8,33.5,24.6,24.6,24.9,49.6,33,31.57,408.53,0.68,0.41,0.4,2022/3/12 08:00
274,0.2558,RA,H,26.6,33.9,25.1,24.1,25.4,50.2,33.4,31.53,409.26,0.68,0.41,0.41,2022/3/12 09:00
275,0.2524,RA,H,27.4,34.5,24.8,24.2,26.2,50.8,34,31.64,408.82,0.68,0.41,0.41,2022/3/12 10:00
276,0.2481,RA,H,28.3,35.2,24.7,24.7,27.1,51.4,34.6,31.79,406,0.68,0.4,0.4,2022/3/12 11:00
277,0.2404,RA,H,28.9,35.9,25.2,25.4,28,51.9,35.2,32.12,409.22,0.68,0.41,0.4,2022/3/12 12:00
278,3.7162,RA,C,29.1,29.1,26.9,27.1,27.8,51.2,28.8,28.01,409.83,0.71,0.42,17.25,2022/3/12 13:00
279,14.5404,RA,C,28.8,15.1,25.6,25.9,26.3,49.2,15.6,15.4,405.89,74.3,47.1,46.69,2022/3/12 14:00
280,17.9486,RA,H,28.5,14.1,23.8,24.1,24.4,47.3,14.2,12.16,408.93,0.68,0.4,21.75,2022/3/12 15:00
281,9.4647,RA,H,28.4,19.8,24.1,25.1,24.7,47.3,19.6,17.17,408.96,0.68,0.4,0.41,2022/3/12 16:00
282,8.2049,RA,C,28.3,21,25,25.9,25.5,48,21.4,20.82,406.31,72.67,46.01,5.83,2022/3/12 17:00
283,10.6188,RA,C,27.6,18.1,24.1,24.8,24.7,47.4,18,18.66,407.4,30.67,14.75,16.72,2022/3/12 18:00
284,6.9652,RA,H,26.8,21.1,23.8,24.4,24.3,47.1,21,19.23,408.04,0.68,0.4,3.75,2022/3/12 19:00
285,3.7269,RA,H,26.6,24.7,24.1,24.6,24.4,47.6,24.6,22.68,407.25,0.68,0.4,0.4,2022/3/12 20:00
286,2.1588,RA,H,26.4,27.5,24.5,24.6,24.7,48.1,27,25.45,406.4,0.68,0.4,0.4,2022/3/12 21:00
287,0.9892,RA,H,26.5,29.5,25,24.4,25,48.7,29,27.33,408.59,0.68,0.4,0.41,2022/3/12 22:00
288,0.5789,RA,H,26.8,31.1,24.4,24.3,25.4,49.4,30.6,28.72,407.44,0.68,0.4,0.41,2022/3/12 23:00
289,0.3632,RA,H,26.9,32.3,25,24.3,25.7,49.8,31.8,29.82,409.83,0.69,0.41,0.41,2022/3/13 00:00
290,0.2885,RA,H,27.1,33.4,24.6,24.3,26,50.3,32.8,30.76,410.65,0.69,0.41,0.41,2022/3/13 01:00
291,0.2617,RA,H,27.2,34.1,24.6,24.3,26.3,50.6,33.4,31.36,408.49,0.68,0.4,0.4,2022/3/13 02:00
292,0.2456,RA,H,27.3,34.7,24.8,24.3,26.4,50.9,34.2,31.89,406.81,0.68,0.4,0.4,2022/3/13 03:00
293,0.2361,RA,H,27.3,35.2,24.1,24.3,26.6,51.1,34.6,32.36,406.66,0.68,0.4,0.4,2022/3/13 04:00
294,0.2322,RA,H,27.3,35.5,25.1,24.2,26.7,51.2,35,32.65,407.24,0.68,0.4,0.4,2022/3/13 05:00
295,0.2281,RA,H,27.1,35.9,24.3,24.7,26.7,51,35.2,33.13,406.31,0.68,0.4,0.4,2022/3/13 06:00
296,3.1958,RA,C,27.1,34.6,25.5,25.9,26.7,50.5,34.8,34.48,402.55,69.22,43.4,2.57,2022/3/13 07:00
297,4.9111,RA,C,27.3,25.7,25.1,26.5,25.5,49,26,25.78,406.36,75.63,48,22.27,2022/3/13 08:00
298,12.4798,RA,C,27.9,16.5,23.5,24.9,23.4,47,17,17.13,407.08,51.46,31.11,33.41,2022/3/13 09:00
299,12.9933,RA,C,28.5,16.4,23.6,24.5,22.7,46,16.4,16.68,407.93,0.73,0.43,9.6,2022/3/13 10:00
300,13.2599,RA,C,28.8,16.3,24.1,24.7,22.8,46,16.8,16.45,405.36,51.97,31.49,10.06,2022/3/13 11:00
301,13.3183,RA,C,29,16.4,24.9,25.2,23.2,45.9,16.4,16.4,408.02,0.73,0.43,9.55,2022/3/13 12:00
302,16.8585,RA,C,29.4,13.7,24.2,25.7,23.8,46.1,14.2,13.86,405.1,53.3,32.45,18.43,2022/3/13 13:00
303,19.9092,RA,C,29.4,12.2,24.6,25.8,23.9,45.6,12.2,12.53,407.43,0.7,0.42,16.11,2022/3/13 14:00
304,21.1771,RA,C,29.2,11.5,24,25.9,24,45.3,12.2,12.06,407.08,52.49,31.9,16.68,2022/3/13 15:00
305,24.0124,RA,C,28.9,10,24.7,25.8,24,45,10.4,10.89,409.27,0.71,0.42,17.37,2022/3/13 16:00
306,24.3853,RA,C,28.5,9.6,23.9,25.6,23.6,44.6,9.8,10.75,407.99,0.71,0.42,16.3,2022/3/13 17:00
307,21.2481,RA,C,27.8,10.6,24.5,25.1,23.2,44.2,11,12.03,403.56,47.75,28.37,13.49,2022/3/13 18:00
308,22.61,RA,C,27,9.4,24.7,24.5,22.5,43.9,9.8,11.44,409.71,0.71,0.42,16.92,2022/3/13 19:00
309,12.3072,RA,H,26.2,15.7,22.9,25,22.4,44.1,15.8,14.85,408.8,0.68,0.41,0.41,2022/3/13 20:00
310,7.7726,RA,C,25.6,19.8,22.7,25.7,22.9,45,20.2,21.26,408.5,64.42,40.37,1.71,2022/3/13 21:00
311,11.7231,RA,C,25.9,16,23,24.6,22.4,44.7,16,17.78,411.64,0.72,0.43,17.88,2022/3/13 22:00
312,8.9204,RA,H,26,18.8,22.4,24.5,22.2,44.8,18.6,17.65,408.57,0.68,0.41,4.25,2022/3/13 23:00
313,4.9439,RA,H,25.8,22.6,22.5,25,22.6,45.6,22.2,21.11,410.46,0.69,0.41,0.41,2022/3/14 00:00
314,3.1395,RA,H,25.9,25.4,23,25.2,23.1,46.4,25,23.7,411.54,0.69,0.41,0.41,2022/3/14 01:00
315,1.8743,RA,H,26,27.7,23.6,25.3,23.7,47.1,27.4,25.88,411.17,0.69,0.41,0.41,2022/3/14 02:00
316,6.0715,RA,C,26.3,23,24,25.6,24.1,47.4,23.2,23.77,409.35,55.8,34.32,13.78,2022/3/14 03:00
317,6.034,RA,C,26,22.9,23.3,25.1,23.3,46.8,23.2,23.84,410.49,51.76,31.42,5.78,2022/3/14 04:00
318,5.4096,RA,C,25.5,23.9,22.7,24.9,23,46.6,23.6,24.99,413.04,0.73,0.43,3.2,2022/3/14 05:00
319,5.7027,RA,C,25.8,23.5,22.3,24.7,22.8,46.4,23.2,24.46,410.74,0.71,0.42,5.3,2022/3/14 06:00
320,5.9752,RA,C,26.1,23.1,22.1,24.6,22.7,46.4,23,23.95,410.11,0.73,0.43,5.27,2022/3/14 07:00
321,6.3012,RA,C,26.5,22.7,22.2,24.6,23.5,44.9,22.6,23.35,400.36,0.71,0.41,5.21,2022/3/14 08:00
322,4.0888,RA,H,26.7,24.2,23.1,25,24.1,44,24,22.14,399.09,0.66,0.39,2.79,2022/3/14 09:00
323,2.7168,RA,H,27.1,26.9,24.8,25.6,25.1,44.3,26.6,24.49,396.7,0.66,0.38,0.38,2022/3/14 10:00
324,5.8366,RA,C,27.7,24.3,25.9,26.7,26.2,44.8,24.6,24.21,399.19,77.69,48.66,9.75,2022/3/14 11:00
325,13.2482,RA,C,27.7,15.6,25.1,26.1,25.6,43.7,16.2,16.46,403.14,74.65,47.05,31.98,2022/3/14 12:00
326,15.5748,RA,C,27.5,13.4,24,25.2,24.9,42.5,14,14.65,400.18,52.96,31.92,19.77,2022/3/14 13:00
327,14.8401,RA,C,27.3,13.9,24.9,25.1,24.9,42.1,14,15.17,398.02,0.68,0.39,11.54,2022/3/14 14:00
328,16.0343,RA,C,27.7,13.2,24,25.4,25.1,42.5,13.8,14.36,397.94,53,31.9,14.79,2022/3/14 15:00
329,14.8931,RA,C,27.7,14.1,25,25.6,25.3,42.1,14.4,15.13,399.46,0.69,0.4,11.08,2022/3/14 16:00
330,16.379,RA,C,27.6,12.9,24,25.7,25.4,42.1,13.4,14.15,404.25,0.7,0.41,15.79,2022/3/14 17:00
331,14.9464,RA,C,27,13.6,25,26.1,25.6,42.5,13.8,15.09,402.13,0.69,0.4,12.05,2022/3/14 18:00
332,16.6605,RA,C,26.8,12.2,23.8,26,25.7,42.7,12.2,13.98,404.76,0.7,0.41,16.93,2022/3/14 19:00
333,13.9029,RA,C,25.8,13.8,24,25.6,24.2,43.5,13.8,15.91,406.64,0.7,0.41,9.96,2022/3/14 20:00
334,7.9808,RA,H,25.2,19.2,23.1,26.6,24.1,44.7,19,18.4,408.33,0.68,0.4,0.41,2022/3/14 21:00
335,4.6157,RA,H,26,23.1,23.5,27.3,24.5,45.9,22.8,21.47,405.8,0.68,0.4,0.4,2022/3/14 22:00
336,2.9096,RA,H,26.4,26.1,24.3,27.5,25.1,46.9,26,24.13,405.87,0.68,0.4,0.4,2022/3/14 23:00
337,1.5077,RA,H,26.4,28.5,25.1,27.5,25.5,47.7,28.2,26.43,404.92,0.67,0.4,0.4,2022/3/15 00:00
338,7.1458,RA,C,27,21.5,24.6,26.9,26,47.7,22,22.02,402.51,75.03,47.27,20.05,2022/3/15 01:00
339,11.1021,RA,C,25.6,16.4,23.4,25.2,25.7,46.3,16.4,18.28,406.79,0.7,0.41,23.73,2022/3/15 02:00
340,11.7759,RA,C,25.5,15.7,23.1,24.3,25.2,45.8,16.2,17.74,405.7,52.4,31.74,11.17,2022/3/15 03:00
341,10.6442,RA,C,24.7,16.3,22.9,24.2,24.9,45.4,16.2,18.64,409.1,0.71,0.42,7.42,2022/3/15 04:00
342,10.6188,RA,C,24.2,16,22.7,24.7,24.6,45.4,16.4,18.66,406.56,51.14,30.88,9.46,2022/3/15 05:00
343,8.5879,RA,C,24.2,18.1,22.5,25,24.4,45.2,18,20.47,406.6,0.71,0.42,4.57,2022/3/15 06:00
344,4.7392,RA,H,24.3,22,22.2,24.5,24.4,45.9,21.8,21.33,405.46,0.67,0.4,0.4,2022/3/15 07:00
345,3.5738,RA,H,26.3,24.8,22.8,24.7,22.5,44.6,24.6,22.93,401.58,0.67,0.39,0.4,2022/3/15 08:00
346,2.5803,RA,H,27,27.1,24.2,25.5,24.3,44.4,26.8,24.74,397.42,0.66,0.38,0.39,2022/3/15 09:00
347,3.5184,RA,C,27.4,29,25.5,26.4,25.4,45.1,28.6,28.85,398.19,0.69,0.4,0.38,2022/3/15 10:00
348,6.2346,RA,C,28.1,23.8,26,27,25.9,45,23.6,23.47,398.32,0.68,0.4,15.88,2022/3/15 11:00
349,11.3233,RA,C,28.2,17.8,25.4,26.7,25.9,44,18.4,18.1,401.33,73.77,46.29,25.83,2022/3/15 12:00
350,22.659,RA,C,28.3,10.2,24.1,26,24.1,42.9,11,11.42,395.85,72.47,45.01,38.86,2022/3/15 13:00
351,27.3317,RA,C,28.1,8.1,24.8,25.1,24.7,42.6,8.8,9.69,396.95,51.5,30.85,29.77,2022/3/15 14:00
352,16.2141,RA,C,27.7,13.1,23.8,25,24.7,42.5,13.2,14.25,402.51,0.69,0.4,6.2,2022/3/15 15:00
353,14.3745,RA,C,27.6,14.5,24.8,25.6,25.6,42.1,14.6,15.53,401.53,0.69,0.4,9.46,2022/3/15 16:00
354,16.2141,RA,C,27.3,12.8,23.8,25.6,25.7,42.3,13.6,14.25,404.79,77.44,48.95,23.14,2022/3/15 17:00
355,15.0403,RA,C,26.5,13.2,24.4,25.6,25.7,42.9,13.4,15.02,404.56,0.72,0.42,15.31,2022/3/15 18:00
356,15.0403,RA,C,26.4,13.1,24.4,25.5,25,43,13.8,15.02,396.75,130.28,80.05,18.22,2022/3/15 19:00
357,14.5919,RA,C,25.7,13.1,24.2,25.2,24,43,13.2,15.36,403.05,0.71,0.42,15.9,2022/3/15 20:00
358,14.1612,RA,C,25.4,13.3,23.9,24.9,23.5,43,13.8,15.7,399.35,107.59,64.18,16.65,2022/3/15 21:00
359,14.1612,RA,C,25,13.1,23.7,24.5,23,42.9,13.2,15.7,404.69,0.72,0.42,16.12,2022/3/15 22:00
360,9.9431,RA,H,24.7,17,23.1,24.8,22.9,43.2,17,16.75,406.99,0.68,0.4,5.07,2022/3/15 23:00
361,5.585,RA,H,24.5,21.2,22.8,25.6,23.3,44,21,20.5,403.51,0.67,0.4,0.4,2022/3/16 00:00
362,10.7207,RA,C,24.5,16.1,22.7,24.9,23,43.9,16.2,18.58,402.22,0.72,0.42,18.65,2022/3/16 01:00
363,7.7255,RA,H,24.3,18.9,22.6,24.4,22.6,43.8,18.8,18.6,403.36,0.68,0.4,3.87,2022/3/16 02:00
364,4.3281,RA,H,24.4,22.6,22.3,25,22.9,44.3,22.4,21.82,402.84,0.67,0.39,0.4,2022/3/16 03:00
365,2.8082,RA,H,24.7,25.4,22.4,25.3,23.3,45.1,25.2,24.32,403.55,0.67,0.39,0.4,2022/3/16 04:00
366,4.4129,RA,C,25,25.2,22.9,25.6,23.8,45.9,25.6,26.53,400.85,73.96,46.41,4.98,2022/3/16 05:00
367,5.7027,RA,C,24.7,22.9,23.2,25.2,23.3,45.3,22.8,24.46,402.7,0.7,0.41,9.25,2022/3/16 06:00
368,6.1743,RA,C,24.8,22,23.2,24.9,23,45.1,21.8,23.58,407.21,0.73,0.43,7.12,2022/3/16 07:00
369,6.8056,RA,C,26.2,21.6,23.1,24.9,23.9,44.3,21.4,22.51,403.11,0.71,0.42,7.75,2022/3/16 08:00
370,7.03,RA,C,26.7,21.5,23.3,25,24.1,43.6,21.8,22.18,401.93,0.71,0.41,8.4,2022/3/16 09:00
371,6.0823,RA,C,26.8,23.3,24.6,25.7,24.8,43.6,23.2,23.75,400.6,47.52,28.02,4.32,2022/3/16 10:00
372,11.5646,RA,C,27.3,17,24.5,25.9,25.2,43.2,17.4,17.9,403.41,0.7,0.41,22.68,2022/3/16 11:00
373,15.0673,RA,C,27.5,13.8,24.1,25.9,25.4,42.6,14.4,15,401.95,52.61,31.79,22.88,2022/3/16 12:00
374,15.5902,RA,C,27.8,13.6,24.6,26.2,25.7,42.3,13.8,14.64,399.51,0.69,0.4,14.35,2022/3/16 13:00
375,20.9183,RA,C,28,10.9,24.2,26.2,25.7,42.5,11,12.16,402.33,0.69,0.4,25.79,2022/3/16 14:00
376,20.9723,RA,C,28.1,10.9,24.2,26,25.5,42.2,11.6,12.14,400.04,50.99,31.25,17.15,2022/3/16 15:00
377,21.9433,RA,C,27.6,10.1,24.8,25.9,25.3,42.5,10.8,11.72,403.27,51.83,31.36,18.25,2022/3/16 16:00
378,21.3152,RA,C,27.4,10.3,24.1,26,25.4,42.5,10.8,12,404.14,52.41,31.79,19.28,2022/3/16 17:00
379,21.1526,RA,C,27.1,10.2,24.4,26,25.3,42.5,10.4,12.07,405.02,0.7,0.41,16.93,2022/3/16 18:00
380,18.6246,RA,C,26.9,11.2,24.1,25.8,23.1,42.6,11.4,13.06,403.28,0.7,0.41,13.52,2022/3/16 19:00
381,20.0828,RA,C,26.6,10.3,24.7,25.5,21.6,42.7,11,12.46,401.4,51.26,30.88,17.07,2022/3/16 20:00
382,14.6957,RA,C,26.5,13.5,24.9,25.4,21.3,43,13.6,15.28,404.87,0.7,0.41,6.43,2022/3/16 21:00
383,14.1488,RA,C,26.4,13.9,24.9,25.3,21.1,43.2,14.6,15.71,403.42,50.56,30.42,11.23,2022/3/16 22:00
384,14.5532,RA,C,26.3,13.5,24.8,25,20.9,43.3,13.6,15.39,407.55,0.71,0.42,12.25,2022/3/16 23:00
385,14.3619,RA,C,26.7,13.9,24.6,24.8,20.7,43.4,14.4,15.54,406.38,50.79,30.59,11.32,2022/3/17 00:00
386,14.9598,RA,C,26.4,13.2,24.3,24.4,20.4,43.2,13.4,15.08,408.73,0.73,0.43,14.87,2022/3/17 01:00
387,9.1935,RA,H,26.3,18.7,22.9,25.2,20.8,43.7,18.6,17.41,408.55,0.68,0.41,0.41,2022/3/17 02:00
388,12.2197,RA,C,26.4,15.8,23.1,25.5,21.8,44.3,16.2,17.36,406.62,74.22,47.06,16.36,2022/3/17 03:00
389,13.1551,RA,C,26.1,14.7,23.3,24.6,21,43.9,14.8,16.54,406.04,0.7,0.42,12.79,2022/3/17 04:00
390,9.7373,RA,H,25.9,17.9,22.6,24.6,20.8,43.8,17.8,16.93,405.39,0.68,0.4,4.41,2022/3/17 05:00
391,5.5407,RA,H,25.5,21.8,22.6,25.3,21.5,44.5,21.6,20.54,405.06,0.68,0.4,0.4,2022/3/17 06:00
392,8.2577,RA,C,24.8,18.8,23.1,25.4,22.4,44.8,18.8,20.77,404.3,0.7,0.41,12.56,2022/3/17 07:00
393,9.5478,RA,C,26.6,18.5,23.3,24.8,23.5,43.7,18.4,19.58,401.39,0.71,0.41,9.75,2022/3/17 08:00
394,8.6319,RA,C,26,19.1,23.8,24.7,23.8,42.9,19,20.43,399.19,0.69,0.4,7.92,2022/3/17 09:00
395,8.4881,RA,C,26.7,19.7,24.5,25.1,24.2,42.8,19.6,20.56,400.82,0.69,0.4,6.7,2022/3/17 10:00
396,9.1927,RA,C,27,19.1,24.8,25.6,24.9,42.9,19.6,19.91,396.85,53.21,32.06,9.28,2022/3/17 11:00
397,11.8149,RA,C,27.3,16.8,24.3,25.7,24.9,42.6,17,17.71,406.73,0.7,0.41,15.85,2022/3/17 12:00
398,13.8542,RA,C,27.5,14.9,24.4,26,25.1,42.5,15.4,15.95,395.17,53.91,32.43,16.2,2022/3/17 13:00
399,14.5275,RA,C,27.7,14.4,24.5,26.2,25.4,42.4,15,15.41,396.3,53.18,32.01,13.84,2022/3/17 14:00
400,16.6274,RA,C,27.7,12.8,24,26,25.2,42.1,13,14,395.82,0.68,0.39,16.9,2022/3/17 15:00
401,16.0994,RA,C,27.3,12.9,24.7,25.7,24.9,42,13.4,14.32,396.93,50.81,30.34,14.79,2022/3/17 16:00
402,19.0502,RA,C,26.8,10.9,23.7,25.3,24.6,42.1,12,12.9,400.94,132.96,82.42,23.75,2022/3/17 17:00
403,20.1619,RA,C,27,10.5,24.4,25.5,24.7,42.3,11.6,12.43,400.23,131.41,81.3,22.85,2022/3/17 18:00
404,19.7558,RA,C,26.8,10.6,25,25.4,24.7,42.3,11,12.6,403.66,0.72,0.42,19.8,2022/3/17 19:00
405,21.7597,RA,C,26.5,9.5,23.5,25.2,24.6,42.3,9.8,11.8,404.54,0.72,0.42,23.7,2022/3/17 20:00
406,18.5707,RA,C,26.4,10.9,23.9,24.9,24.3,42.1,11.2,13.08,406.56,0.73,0.43,15.71,2022/3/17 21:00
407,21.3369,RA,C,26.3,9.6,24.2,24.5,24,42.2,9.8,11.99,406.96,0.72,0.42,23.27,2022/3/17 22:00
408,15.601,RA,H,26.4,13.8,23.2,24.8,23.8,42.3,13.8,13.08,406.96,0.68,0.4,8.02,2022/3/17 23:00
409,9.3213,RA,C,26.4,18.6,22.7,25.9,24.4,43.2,18.8,19.79,404.55,115.6,70.8,1.63,2022/3/18 00:00
410,15.6832,RA,C,26.5,12.7,23.3,24.8,24,42.9,12.8,14.58,409.75,0.74,0.43,28.54,2022/3/18 01:00
411,14.3674,RA,H,26.3,14.3,23.4,24.4,23.6,42.8,14.4,13.58,405.42,0.68,0.4,10.61,2022/3/18 02:00
412,8.5193,RA,H,26.4,19.4,22.6,25.4,24,43.4,19.2,17.96,405.5,0.68,0.4,0.4,2022/3/18 03:00
413,12.4684,RA,C,26.6,15.7,23.2,25.3,24.3,43.8,15.8,17.14,405.81,0.71,0.41,18.38,2022/3/18 04:00
414,12.6159,RA,C,26.4,15.4,23.6,24.7,23.9,43.5,15.8,17.01,403.73,52.63,31.9,11.47,2022/3/18 05:00
415,12.2084,RA,C,26.5,15.9,23.7,24.4,23.7,43.4,16,17.37,405,0.7,0.41,8.73,2022/3/18 06:00
416,6.9539,RA,H,26.1,20.7,23.1,25.2,24,43.9,20.4,19.24,403.96,0.67,0.4,0.4,2022/3/18 07:00
417,9.1927,RA,C,27,19.1,23.7,25.7,24.7,44.1,19.6,19.91,398.46,76.95,48.14,11.78,2022/3/18 08:00
